id,title,incident_on,min_lon,min_lat,max_lon,max_lat
85215,Landslide at Pokhara Lekhnath Metropolitan City-26,02-11-2025,84.02397953,28.17346938,84.06288736,28.2167363
85216,Landslide at Phidim Municipality-11,02-11-2025,87.76532587,27.12822481,87.83098637,27.17332166
85194,Landslide at Molung Rural Municipality-1,01-11-2025,86.43498058,27.29580946,86.48449307,27.34125429
85205,Landslide at Dharche Rural Municipality-5,01-11-2025,84.77574082,28.16370382,84.87698767,28.34008661
85229,Landslide at Diprung Chuichumma Rural Municipality-4,01-11-2025,86.69847148,27.03800421,86.791842,27.1063511
85177,Landslide at Baragung Muktikhsetra Rural Municipality-3,31-10-2025,83.54812563,28.79753134,84.05182074,29.04383662
85179,Landslide at Nechasalyan Rural Municipality-6,31-10-2025,86.5493195,27.39750117,86.63123672,27.44798225
85180,Landslide at Ainselukhark Rural Municipality-7,31-10-2025,86.72074804,27.30776406,86.77904853,27.3609296
85184,Landslide at Kummayak Rural Municipality-4,31-10-2025,87.63990368,27.0685029,87.69452503,27.13769114
85185,Landslide at Chum Nubri Rural Municipality-3,31-10-2025,84.67751558,28.33026446,85.01225715,28.47825321
85187,Landslide at Gharapjhong Rural Municipality-4,31-10-2025,83.67573614,28.75951744,83.85774666,28.86758304
85192,Landslide at Shey Phoksundo Rural Municipality-99,31-10-2025,82.74488295,29.03984124,83.10481621,29.36636903
85173,Landslide at Loghekar Damodarkunda Rural Municipality-5,30-10-2025,83.82776199,28.83911885,84.24182968,29.0724145
85152,Landslide at Baragung Muktikhsetra Rural Municipality-3,29-10-2025,83.54812563,28.79753134,84.05182074,29.04383662
85013,Landslide at Pathibhara Yangwarak Rural Municipality-6,16-10-2025,87.78725219,27.2757243,87.83325237,27.31000596
83651,"Landslide at Chakhola, Bhumlu Rural Municipality-10",07-10-2025,85.68404132,27.60323809,85.72515802,27.64927251
83153,"Landslide at chumlung, Sakela Rural Municipality-5",06-10-2025,86.80062871,27.14560942,86.84330385,27.18236665
83649,"Landslide at Rampur, Ramechhap Municipality-5",06-10-2025,86.11441477,27.24217581,86.2131305,27.30081368
85120,"Landslide at katai, Sinja Rural Municipality-1",06-10-2025,81.92438929,29.3459571,82.0117837,29.40490918
